Customer,WC Subsidiary,Billing Period,Sales Revenue,Commission Revenue,Gross Payment Volume,Gross Margin,Transaction Margin,Transaction Count
PONPARE,CPSME,Jan-17,0,0,0,0,0,0
PONPARE,CPSME,Jan-17,263405.5414,155366.0871,5401972.838,0.589836062,0.02876099,384717
SHAREE,CPSME,Jan-17,57953.08715,46838.07289,555750.5933,0.808206693,0.084278944,93612
PIKU,CPSME,Jan-17,20529.5662,13257.01947,363627.3163,0.645752538,0.036457711,34166
RAKUTEN,CPSME,Jan-17,1913625.783,1489817.241,21190426.88,0.778531129,0.070306146,3625721
DENA,CPSME,Jan-17,718571.7358,370398.7485,17408648.7,0.515465235,0.021276709,1231611
DENA,CPSME,Jan-17,1467792.933,831178.7937,31830706.78,0.566277964,0.026112483,3583264
AIRTEL,CPSME,Jan-17,1068475.385,675222.6734,19662652.13,0.631949676,0.034340366,1955751
ETIS,CPSME,Jan-17,556735.506,288778.5248,13397849.02,0.518699673,0.021554096,951703
PAYTURE,CPSME,Jan-17,56326.26961,30618.28136,1285399.53,0.543587949,0.02382005,50254
TOMB,CPSME,Jan-17,127424.3216,65077.42844,3117344.44,0.510714341,0.020875918,74176
1XBET,CPSME,Jan-17,372004.275,199600.5795,8620184.85,0.536554532,0.023155023,260622
GOLDF,CPSME,Jan-17,666082.0226,509816.2537,7813288.54,0.765395607,0.065249895,820016
MOBILMAT,CPSME,Jan-17,24211.95314,9882.52114,716457.28,0.408167036,0.013793594,42335
FOREXT,CPSME,Jan-17,50910.299,18974.15925,1596807.19,0.372697855,0.011882561,76877
BANCBIN,CPSME,Jan-17,122036.8235,48843.25753,3659678.24,0.400233766,0.013346326,211961
SOKOL,CPSME,Jan-17,9776.566932,3378.594932,319898.48,0.345580914,0.01056146,12472
CYBERPL,CPSME,Jan-17,15726.65598,5743.39023,499163.43,0.365200983,0.011506032,21933
MOLOTOK,CPSME,Jan-17,10366.4906,3512.330346,342708.01,0.338815756,0.010248755,1261
FIRSTCAG,CPSME,Jan-17,52535.27727,23036.67902,1474929.93,0.438499237,0.015618829,109295
PONPARE,CPSME,Feb-17,0,0,0,0,0,0
PONPARE,CPSME,Feb-17,285326.9821,178723.457,5330176.113,0.626381199,0.033530498,377354
SHAREE,CPSME,Feb-17,49425.41708,38505.42911,545999.2848,0.779061288,0.070522856,92279
PIKU,CPSME,Feb-17,22604.87801,15460.98302,357194.6359,0.683966665,0.043284477,33768
RAKUTEN,CPSME,Feb-17,1208191.467,790979.6864,20860589.19,0.654680742,0.037917418,3585538
DENA,CPSME,Feb-17,850477.7443,507396.295,17154080.99,0.596601496,0.029578751,1217035
DENA,CPSME,Feb-17,2191850.293,1563814.917,31401768.6,0.713467942,0.049800218,3545320
AIRTEL,CPSME,Feb-17,1185178.364,798795.053,19319173.36,0.673987205,0.041347269,1929773
ETIS,CPSME,Feb-17,694547.653,430594.1857,13197673.47,0.619963488,0.032626522,933976
PAYTURE,CPSME,Feb-17,50832.50275,25426.48575,1270301.08,0.500201335,0.02001611,49554
TOMB,CPSME,Feb-17,121558.5037,60179.65386,3068942.66,0.495067412,0.019609247,72901
1XBET,CPSME,Feb-17,316493.5978,146641.867,8492586.36,0.463332807,0.017267045,256979
GOLDF,CPSME,Feb-17,566921.421,412407.1452,7725713.88,0.727450278,0.053381105,808861
MOBILMAT,CPSME,Feb-17,49360.37813,24654.70888,1235306.77,0.499483793,0.019958369,73367
FOREXT,CPSME,Feb-17,98198.98116,49319.96541,2443951.03,0.502245185,0.020180423,118249
BANCBIN,CPSME,Feb-17,255220.9046,129941.1151,6263989.58,0.509131943,0.020744146,360694
SOKOL,CPSME,Feb-17,18579.82672,8672.354718,495373.68,0.466761873,0.017506693,19432
CYBERPL,CPSME,Feb-17,31261.62503,16869.51753,719605.5,0.53962382,0.02344273,3137
MOLOTOK,CPSME,Feb-17,23586.2528,12092.79055,574672.89,0.512705034,0.021042911,20964
FIRSTCAG,CPSME,Feb-17,130972.5915,79272.82025,2584988.45,0.605262669,0.030666605,189283
PONPARE,CPSME,Mar-17,0,0,0,0,0,0
PONPARE,CPSME,Mar-17,206673.6482,100775.0181,5294931.551,0.487604583,0.019032355,371548
SHAREE,CPSME,Mar-17,67044.7048,56194.23207,542523.724,0.838160631,0.103579308,90582
PIKU,CPSME,Mar-17,28836.57999,21735.87599,355035.3869,0.753760536,0.061221717,33228
RAKUTEN,CPSME,Mar-17,1318315.958,903307.1253,20750441.51,0.685197748,0.043531947,3522839
DENA,CPSME,Mar-17,739214.6566,398400.7266,17040704.18,0.538951336,0.023379358,1198883
DENA,CPSME,Mar-17,1841459.685,1217736.966,31186136.12,0.661288963,0.039047382,3478079
AIRTEL,CPSME,Mar-17,1088934.079,705131.9018,19190119.3,0.64754324,0.036744529,1907216
ETIS,CPSME,Mar-17,575904.2081,313734.7319,13108473.71,0.544768952,0.023933735,916342
PAYTURE,CPSME,Mar-17,51994.69487,26744.45037,1262512.18,0.51436883,0.021183519,48733
TOMB,CPSME,Mar-17,123120.2324,62110.6628,3050478.32,0.504471618,0.020360959,71899
1XBET,CPSME,Mar-17,342740.2111,173807.5443,8446633.56,0.507111622,0.020577138,253139
GOLDF,CPSME,Mar-17,609120.6348,455502.427,7680910.51,0.74780331,0.059303181,795015
MOBILMAT,CPSME,Mar-17,61214.66085,33670.5731,1377203.51,0.550040997,0.02444851,81267
FOREXT,CPSME,Mar-17,129887.89,74000.54978,2794366.81,0.569726321,0.026482046,137984
BANCBIN,CPSME,Mar-17,264963.7285,124675.8743,7014392.57,0.470539402,0.017774294,405314
