Customer,WC Subsidiary,Billing Period,Sales Revenue,Commission Revenue,Gross Payment Volume,Gross Margin,Transaction Margin,Transaction Count
Online Enterpayment,WCUKI,Jul-16,594157.5878,449172.4312,7249257.702,0.755981983,0.061961162,704382
Janus Billing and Support,WCUKI,Jul-16,621150.5332,491861.5209,6464450.529,0.791855588,0.076087135,1032939
Janus Billing and Support,WCUKI,Jul-16,509216.5513,350084.3623,7956609.4,0.68749604,0.043999189,769256
Janus Billing and Support,WCUKI,Jul-16,688866.2349,437349.7254,12575825.48,0.634883383,0.034777019,367674
Janus Billing and Support,WCUKI,Jul-16,0,0,0,0,0,0
Janus Billing and Support,WCUKI,Jul-16,194426.4882,131203.4848,3161150.179,0.674823096,0.041504983,288225
Janus Billing and Support,WCUKI,Jul-16,63042.49607,44652.38482,919505.75,0.708290242,0.048561289,127008
Janus Billing and Support,WCUKI,Jul-16,128805.1084,76563.18189,2612096.312,0.594411067,0.02931101,133449
Janus Billing and Support,WCUKI,Jul-16,90089.96682,45095.31835,2249732.413,0.500558719,0.020044748,22757
Axxis Customer Support,WCUKI,Jul-16,199243.5968,158300.4315,1637726.665,0.794506996,0.09665864,364511
Southvale Billing,WCUKI,Jul-16,398509.4109,218728.3586,8989052.695,0.548866231,0.024332749,501923
Procedal Net,WCUKI,Jul-16,200820.4523,125517.2265,3765161.43,0.625022128,0.033336479,257148
CCSS,WCUKI,Jul-16,170225.5888,108859.9495,2454625.452,0.639504027,0.044348904,284980
Shimatomo,WCUKI,Jul-16,650642.88,30982.99427,30982994.29,0.047619048,0.001,1993116
Cymix Prepaid,WCUKI,Jul-16,1432629.488,618018.0671,40730571.14,0.431387231,0.015173322,1920245
T1M,WCUKI,Jul-16,486324.7482,141801.2457,6500443.454,0.291577277,0.021814088,308926
MEDLINE,WCUKI,Jul-16,430375.4842,242129.1483,6274877.748,0.56259977,0.03858707,458196
Online Enterpayment,WCUKI,Jul-16,6823715.062,5007986.012,64847466.19,0.733909017,0.077227166,22778921
BODYPURE,WCUKI,Jul-16,40340.39122,21675.5333,466621.5193,0.537315892,0.046452065,37715
Functionlab,WCUKI,Jul-16,473313.9318,249119.0848,5604871.234,0.5263295,0.044446888,341160
Online Enterpayment,WCUKI,Aug-16,507688.1125,356923.5059,7538230.467,0.703036957,0.047348447,765139
Janus Billing and Support,WCUKI,Aug-16,893433.8566,752705.2842,7036428.749,0.84248574,0.106972629,1115562
Janus Billing and Support,WCUKI,Aug-16,731114.5646,567547.13,8178371.56,0.776276602,0.069396105,774965
Janus Billing and Support,WCUKI,Aug-16,594154.0449,336157.2096,12899841.76,0.565774503,0.026059018,381858
Janus Billing and Support,WCUKI,Aug-16,0,0,0,0,0,0
Janus Billing and Support,WCUKI,Aug-16,257712.1649,188834.5628,3443880.264,0.732734378,0.054831919,302620
Janus Billing and Support,WCUKI,Aug-16,117925.2882,98200.5584,986236.28,0.832735369,0.099571026,135962
Janus Billing and Support,WCUKI,Aug-16,174985.2506,121359.5587,2681284.685,0.693541646,0.045261721,142326
Janus Billing and Support,WCUKI,Aug-16,90012.74499,44635.00244,2268887.184,0.49587425,0.019672641,22884
Axxis Customer Support,WCUKI,Aug-16,318090.3905,276380.9152,1668378.88,0.8688754,0.165658364,390758
Southvale Billing,WCUKI,Aug-16,544238.8037,350628.0003,9680540.246,0.644253952,0.036219879,525331
Procedal Net,WCUKI,Aug-16,247190.9322,169675.2048,3875786.6,0.686413548,0.043778263,268670
CCSS,WCUKI,Aug-16,273789.1727,208229.8648,2622372.366,0.760548209,0.079405148,293427
Shimatomo,WCUKI,Aug-16,657291.4334,31299.59206,31299592.07,0.047619048,0.001,2062822
Cymix Prepaid,WCUKI,Aug-16,1368340.69,548855.0806,40974280.42,0.401109961,0.013395112,2079542
T1M,WCUKI,Aug-16,446161.6711,78205.12946,6942576.193,0.175284285,0.011264569,326478
MEDLINE,WCUKI,Aug-16,516032.2776,322237.4613,6459827.235,0.624452142,0.049883294,471809
Online Enterpayment,WCUKI,Aug-16,10804881.84,8833461.708,70407861.85,0.817543573,0.125461298,22977828
BODYPURE,WCUKI,Aug-16,42947.53794,23162.64452,494622.3986,0.539324153,0.046828944,40894
Functionlab,WCUKI,Aug-16,543442.7421,307317.5867,5903128.912,0.565501318,0.052060118,356672
Online Enterpayment,WCUKI,Sep-16,430815.9223,270666.5364,8007469.354,0.628264933,0.033801757,790849
Janus Billing and Support,WCUKI,Sep-16,631779.0075,488136.0528,7182147.557,0.772637341,0.067965194,1147248
Janus Billing and Support,WCUKI,Sep-16,739370.6013,566105.4406,8663258.02,0.765658574,0.065345559,795250
Janus Billing and Support,WCUKI,Sep-16,757635.2052,491314.5459,13316032.96,0.648484314,0.036896465,416145
Janus Billing and Support,WCUKI,Sep-16,0,0,0,0,0,0
Janus Billing and Support,WCUKI,Sep-16,312596.687,242158.9969,3521884.546,0.774669109,0.068758358,329744
Janus Billing and Support,WCUKI,Sep-16,89288.86627,69086.20267,1010132.96,0.773738155,0.068393177,147268
Janus Billing and Support,WCUKI,Sep-16,165019.1536,109480.0277,2776956.391,0.663438306,0.039424468,145014
Janus Billing and Support,WCUKI,Sep-16,92596.85625,45167.07377,2371489.261,0.487781936,0.019045869,24437
Axxis Customer Support,WCUKI,Sep-16,224347.321,181982.6657,1694586.175,0.811164871,0.107390623,412367
Southvale Billing,WCUKI,Sep-16,461115.7685,263841.0357,9863736.46,0.572179599,0.026748589,540364
Procedal Net,WCUKI,Sep-16,245955.5714,166038.2055,3995868.1,0.675073976,0.041552474,279709
CCSS,WCUKI,Sep-16,227246.4924,160157.1487,2683573.669,0.704772808,0.059680549,304146
Shimatomo,WCUKI,Sep-16,691624.6644,32934.50781,32934507.83,0.047619048,0.001,2111299
Cymix Prepaid,WCUKI,Sep-16,1493050.887,647945.3102,42255278.68,0.43397403,0.015334068,2090585
T1M,WCUKI,Sep-16,525458.0248,140524.5725,7262895.383,0.267432537,0.019348285,336267
MEDLINE,WCUKI,Sep-16,434336.584,234446.8898,6662989.798,0.539781585,0.03518644,482121
Online Enterpayment,WCUKI,Sep-16,10182679.74,8185499.487,71327866.04,0.803864965,0.114758788,23413207
BODYPURE,WCUKI,Sep-16,43944.5171,23845.69288,502470.583,0.542631811,0.047456893,43093
Functionlab,WCUKI,Sep-16,572898.8108,320830.4348,6301709.404,0.560012394,0.050911652,375795
Online Enterpayment,WCUKI,Jan-17,414977.5116,253337.6001,8081995.692,0.61048513,0.031345921,766092
Janus Billing and Support,WCUKI,Jan-17,642555.0539,494370.0287,7409251.232,0.769381589,0.066723345,1119432
Janus Billing and Support,WCUKI,Jan-17,545792.6347,393403.331,7619465.25,0.720792671,0.051631357,786087
Janus Billing and Support,WCUKI,Jan-17,487684.8721,294796.2677,9644430.356,0.604481058,0.030566478,41457
Janus Billing and Support,WCUKI,Jan-17,0,0,0,0,0,0
Janus Billing and Support,WCUKI,Jan-17,233759.0947,163905.7478,3492667.583,0.701173779,0.046928528,323453
Janus Billing and Support,WCUKI,Jan-17,71453.94113,53426.00403,901397.06,0.747698492,0.059270222,139847
Janus Billing and Support,WCUKI,Jan-17,158800.1854,99219.13574,2979052.409,0.624804911,0.033305603,141976
Janus Billing and Support,WCUKI,Jan-17,108942.4059,58576.11693,2518314.567,0.537679671,0.023260048,23694
Axxis Customer Support,WCUKI,Jan-17,245772.7904,199546.5888,1849048.063,0.811914893,0.107918552,399264
Southvale Billing,WCUKI,Jan-17,470047.9401,268156.3802,10094577.99,0.5704873,0.026564397,541271
Procedal Net,WCUKI,Jan-17,221908.1399,148978.7746,3646468.34,0.671353357,0.040855634,267856
CCSS,WCUKI,Jan-17,214588.6853,144553.8353,2801394.003,0.67363214,0.05160068,286953
Shimatomo,WCUKI,Jan-17,481075.6671,22908.36313,22908365.1,0.047619044,0.001,2079110
Cymix Prepaid,WCUKI,Jan-17,1615990.584,683365.3879,46631260.04,0.422877085,0.014654663,2016264
T1M,WCUKI,Jan-17,502066.0339,116482.4448,7275162.096,0.232006224,0.016010976,320357
MEDLINE,WCUKI,Jan-17,465723.0163,258029.7754,6923108.165,0.554041278,0.037270799,465216
Online Enterpayment,WCUKI,Jan-17,4959525.487,2905317.943,73364555.2,0.585805628,0.039601112,22313665
BODYPURE,WCUKI,Jan-17,35758.64446,25466.54431,514605.1505,0.712178683,0.049487543,42181
Functionlab,WCUKI,Jan-17,560837.747,367933.0601,6430156.238,0.656041898,0.057219925,35786
Online Enterpayment,WCUKI,Feb-17,474258.7817,315525.5054,7936663.665,0.6653024,0.039755434,747805
Janus Billing and Support,WCUKI,Feb-17,770889.1617,625788.4817,7255033.817,0.811774912,0.086255764,1076429
Janus Billing and Support,WCUKI,Feb-17,597525.3524,448028.3917,7474848.02,0.749806498,0.059938127,772773
Janus Billing and Support,WCUKI,Feb-17,497343.8625,308866.4392,9423871.253,0.621031971,0.0327749,407667
Janus Billing and Support,WCUKI,Feb-17,0,0,0,0,0,0
Janus Billing and Support,WCUKI,Feb-17,292034.032,223452.736,3429065.019,0.765159918,0.065164333,31693
Janus Billing and Support,WCUKI,Feb-17,104387.6113,86628.22109,887969.72,0.82987071,0.09755763,134148
Janus Billing and Support,WCUKI,Feb-17,177930.3675,119196.2931,2936703.682,0.669904158,0.040588464,137475
Janus Billing and Support,WCUKI,Feb-17,96708.3711,47408.72435,2464982.53,0.490223585,0.019232885,23187
Axxis Customer Support,WCUKI,Feb-17,235470.9265,190522.8046,1797924.901,0.809113921,0.105968166,385634
Southvale Billing,WCUKI,Feb-17,524084.9951,324888.1926,9959840.082,0.619915082,0.03261982,521461
Procedal Net,WCUKI,Feb-17,297456.7007,225506.4384,3597512.88,0.758115174,0.062683984,261356
CCSS,WCUKI,Feb-17,257115.6795,188847.4143,2730730.5,0.734484239,0.069156372,27752
Shimatomo,WCUKI,Feb-17,469419.9317,22353.33225,22353330.08,0.047619052,0.001,2012737
Cymix Prepaid,WCUKI,Feb-17,1733962.674,822688.2287,45563722.44,0.474455558,0.018055773,1930775
T1M,WCUKI,Feb-17,518865.9748,140512.0775,7138752.81,0.270806112,0.019683001,310907
MEDLINE,WCUKI,Feb-17,485791.6617,280423.7975,6845595.546,0.577251154,0.04096412,453639
Online Enterpayment,WCUKI,Feb-17,5315949.715,3309150.475,71671401.4,0.622494691,0.046171142,21501734
BODYPURE,WCUKI,Feb-17,35025.34663,24903.21814,506106.3393,0.711005615,0.049205505,40884
Functionlab,WCUKI,Feb-17,424023.4447,234130.7511,6329756.605,0.552164636,0.036988903,352612
Online Enterpayment,WCUKI,Mar-17,431968.6052,279921.6007,7602350.429,0.648013762,0.036820402,72432
Janus Billing and Support,WCUKI,Mar-17,646905.5689,506650.2843,7012764.46,0.783190482,0.07224687,1036600
Janus Billing and Support,WCUKI,Mar-17,742853.9833,595989.9656,7343200.79,0.802297597,0.08116215,758429
Janus Billing and Support,WCUKI,Mar-17,647549.5426,462397.6987,9257592.157,0.714073084,0.049947944,395335
Janus Billing and Support,WCUKI,Mar-17,0,0,0,0,0,0
Janus Billing and Support,WCUKI,Mar-17,327213.4422,259822.6125,3369541.625,0.794046268,0.077109186,312063
Janus Billing and Support,WCUKI,Mar-17,86077.84585,68639.4539,871919.77,0.797411381,0.078722213,129897
Janus Billing and Support,WCUKI,Mar-17,172338.5581,115022.2721,2865814.149,0.667420416,0.040135984,131891
Janus Billing and Support,WCUKI,Mar-17,89053.01562,41336.70616,2385815.309,0.464180869,0.017326029,22842
Axxis Customer Support,WCUKI,Mar-17,210039.0638,166332.0463,1748280.55,0.791910054,0.095140363,375316
Southvale Billing,WCUKI,Mar-17,372401.4755,177112.2639,9764460.439,0.475594958,0.018138459,500579
Procedal Net,WCUKI,Mar-17,172621.5597,103548.2495,3453665.39,0.599856992,0.029982131,253223
